Year,# of Heatwaves
1950,0
1951,4
1952,5
1953,7
1954,1
1955,2
1956,0
1957,6
1958,0
1959,0
1960,5
1961,6
1962,4
1963,4
1964,8
1965,15
1966,1
1967,9
1968,5
1969,3
1970,3
1971,1
1972,3
1973,2
1974,2
1975,6
1976,12
1977,6
1978,0
1979,0
1980,0
1981,0
1982,0
1983,6
1984,5
1985,7
1986,1
1987,8
1988,1
1989,8
1990,3
1991,5
1992,0
1993,8
1994,7
1995,3
1996,10
1997,1
1998,6
1999,4
2000,12
2001,7
2002,8
2003,10
2004,19
2005,10
2006,6
2007,11
2008,12
2009,7
2010,6
2011,10
2012,15
2013,9
2014,11
2015,14
2016,7
2017,6
2018,14
2019,18
2020,10
2021,8
2022,13
